Year,Product Name,Product Category,City,State,Returns,Quantity,Price,Gross Sales,Date
2023,Luxe Mascara,Eyes,Las Vegas,NV,17,125,15," 1,875.00 ",11/1/2023
2023,Radiant Concealer,Face,Dallas,TX,4,75,30," 2,250.00 ",10/1/2023
2024,Matte Liquid Lipstick,Lips,Chicago,IL,4,125,12," 1,500.00 ",9/1/2024
2022,Cream Blush,Face,Detroit,MI,6,186,25," 4,650.00 ",8/1/2022
2023,Precision Eyeliner,Eyes,San Francisco,CA,5,66,10, 660.00 ,11/1/2023
2022,Illuminating Highlighter,Face,Boston,MA,13,136,25," 3,400.00 ",3/1/2022
2024,Illuminating Highlighter,Face,San Francisco,CA,13,152,25," 3,800.00 ",4/1/2024
2024,Flawless Foundation,Face,New York,NY,11,54,40," 2,160.00 ",12/1/2024
2022,Cream Blush,Face,Las Vegas,NV,13,119,25," 2,975.00 ",7/1/2022
2023,Lip Liner Cream Pencil,Lips,Los Angeles,CA,8,158,10," 1,580.00 ",1/1/2023
2022,Illuminating Highlighter,Face,Las Vegas,NV,4,196,25," 4,900.00 ",1/1/2022
2023,Lip Liner Cream Pencil,Lips,Las Vegas,NV,1,197,10," 1,970.00 ",4/1/2023
2021,Flawless Foundation,Face,Miami,FL,18,88,40," 3,520.00 ",2/1/2021
2021,Glossy Lip Stain,Lips,Houston,TX,2,101,8, 808.00 ,8/1/2021
2023,Precision Eyeliner,Eyes,Boston,MA,1,116,10," 1,160.00 ",4/1/2023
2024,Velvet Eyeshadow Palette,Eyes,Detroit,MI,7,43,20, 860.00 ,11/1/2024
2024,Velvet Eyeshadow Palette,Eyes,Philadelphia,PA,5,149,20," 2,980.00 ",9/1/2024
2021,Glossy Lip Stain,Lips,Phoenix,AZ,5,54,8, 432.00 ,4/1/2021
2023,Radiant Concealer,Face,Washington D.C.,DC,3,68,30," 2,040.00 ",5/1/2023
2021,Cream Blush,Face,Dallas,TX,12,49,25," 1,225.00 ",5/1/2021
2024,Luxe Mascara,Eyes,Houston,TX,17,106,15," 1,590.00 ",11/1/2024
2022,Luxe Mascara,Eyes,New York,NY,14,55,15, 825.00 ,10/1/2022
2023,Radiant Concealer,Face,New York,NY,5,74,30," 2,220.00 ",1/1/2023
2021,Radiant Concealer,Face,Los Angeles,CA,2,101,30," 3,030.00 ",5/1/2021
2021,Lip Liner Cream Pencil,Lips,Chicago,IL,10,67,10, 670.00 ,3/1/2021
2022,Matte Liquid Lipstick,Lips,Boston,MA,14,169,12," 2,028.00 ",9/1/2022
2021,Velvet Eyeshadow Palette,Eyes,Philadelphia,PA,9,155,20," 3,100.00 ",1/1/2021
2022,Radiant Concealer,Face,Los Angeles,CA,5,89,30," 2,670.00 ",2/1/2022
2022,Luxe Mascara,Eyes,Chicago,IL,16,48,15, 720.00 ,8/1/2022
2022,Radiant Concealer,Face,Detroit,MI,1,192,30," 5,760.00 ",7/1/2022
2023,Precision Eyeliner,Eyes,Washington D.C.,DC,5,46,10, 460.00 ,10/1/2023
2024,Luxe Mascara,Eyes,Houston,TX,1,197,15," 2,955.00 ",7/1/2024
2024,Lip Liner Cream Pencil,Lips,Los Angeles,CA,5,143,10," 1,430.00 ",3/1/2024
2022,Glossy Lip Stain,Lips,Boston,MA,15,183,8," 1,464.00 ",4/1/2022
2022,Radiant Concealer,Face,Chicago,IL,15,132,30," 3,960.00 ",8/1/2022
